Category: All categories

Week,Chicken pizza: (United States)
2014-12-28,87
2015-01-04,84
2015-01-11,82
2015-01-18,85
2015-01-25,88
2015-02-01,91
2015-02-08,73
2015-02-15,82
2015-02-22,82
2015-03-01,81
2015-03-08,74
2015-03-15,74
2015-03-22,80
2015-03-29,73
2015-04-05,66
2015-04-12,71
2015-04-19,75
2015-04-26,76
2015-05-03,71
2015-05-10,69
2015-05-17,69
2015-05-24,73
2015-05-31,70
2015-06-07,71
2015-06-14,73
2015-06-21,77
2015-06-28,78
2015-07-05,96
2015-07-12,86
2015-07-19,78
2015-07-26,87
2015-08-02,80
2015-08-09,77
2015-08-16,80
2015-08-23,74
2015-08-30,79
2015-09-06,77
2015-09-13,74
2015-09-20,81
2015-09-27,76
2015-10-04,77
2015-10-11,76
2015-10-18,74
2015-10-25,73
2015-11-01,79
2015-11-08,89
2015-11-15,78
2015-11-22,66
2015-11-29,71
2015-12-06,75
2015-12-13,74
2015-12-20,73
2015-12-27,100
