Category: All categories

Week,Classic pizza: (United States)
2014-12-28,100
2015-01-04,60
2015-01-11,49
2015-01-18,49
2015-01-25,61
2015-02-01,50
2015-02-08,47
2015-02-15,53
2015-02-22,57
2015-03-01,57
2015-03-08,63
2015-03-15,47
2015-03-22,59
2015-03-29,53
2015-04-05,61
2015-04-12,44
2015-04-19,65
2015-04-26,49
2015-05-03,53
2015-05-10,48
2015-05-17,57
2015-05-24,49
2015-05-31,61
2015-06-07,64
2015-06-14,56
2015-06-21,58
2015-06-28,69
2015-07-05,54
2015-07-12,63
2015-07-19,50
2015-07-26,52
2015-08-02,55
2015-08-09,56
2015-08-16,47
2015-08-23,57
2015-08-30,63
2015-09-06,53
2015-09-13,44
2015-09-20,61
2015-09-27,56
2015-10-04,45
2015-10-11,49
2015-10-18,45
2015-10-25,59
2015-11-01,54
2015-11-08,51
2015-11-15,48
2015-11-22,54
2015-11-29,52
2015-12-06,49
2015-12-13,57
2015-12-20,63
2015-12-27,81
