Category: All categories

Week,Supreme pizza: (United States)
2014-12-28,81
2015-01-04,66
2015-01-11,79
2015-01-18,69
2015-01-25,84
2015-02-01,79
2015-02-08,76
2015-02-15,82
2015-02-22,73
2015-03-01,69
2015-03-08,76
2015-03-15,69
2015-03-22,77
2015-03-29,69
2015-04-05,69
2015-04-12,73
2015-04-19,77
2015-04-26,84
2015-05-03,72
2015-05-10,83
2015-05-17,77
2015-05-24,87
2015-05-31,78
2015-06-07,91
2015-06-14,88
2015-06-21,90
2015-06-28,88
2015-07-05,86
2015-07-12,95
2015-07-19,84
2015-07-26,89
2015-08-02,80
2015-08-09,75
2015-08-16,94
2015-08-23,89
2015-08-30,78
2015-09-06,71
2015-09-13,79
2015-09-20,70
2015-09-27,77
2015-10-04,83
2015-10-11,82
2015-10-18,82
2015-10-25,79
2015-11-01,79
2015-11-08,83
2015-11-15,66
2015-11-22,80
2015-11-29,80
2015-12-06,73
2015-12-13,91
2015-12-20,78
2015-12-27,100
