Category: All categories

Week,Veggie pizza: (United States)
2014-12-28,77
2015-01-04,38
2015-01-11,41
2015-01-18,42
2015-01-25,62
2015-02-01,57
2015-02-08,35
2015-02-15,39
2015-02-22,37
2015-03-01,38
2015-03-08,42
2015-03-15,43
2015-03-22,35
2015-03-29,49
2015-04-05,40
2015-04-12,40
2015-04-19,37
2015-04-26,36
2015-05-03,37
2015-05-10,40
2015-05-17,42
2015-05-24,45
2015-05-31,32
2015-06-07,39
2015-06-14,37
2015-06-21,43
2015-06-28,70
2015-07-05,35
2015-07-12,45
2015-07-19,42
2015-07-26,44
2015-08-02,43
2015-08-09,35
2015-08-16,39
2015-08-23,39
2015-08-30,44
2015-09-06,42
2015-09-13,38
2015-09-20,39
2015-09-27,36
2015-10-04,29
2015-10-11,34
2015-10-18,36
2015-10-25,48
2015-11-01,37
2015-11-08,36
2015-11-15,42
2015-11-22,47
2015-11-29,41
2015-12-06,44
2015-12-13,60
2015-12-20,100
2015-12-27,73
